Month,biomass_monthly_netGen,solar_photovoltaic_monthly_netGen,utility-scale_photovoltaic_monthly_netGen,wind_monthly_netGen,customerAcc_number_monthly,Temperature (F),Dew Point (F),Humidity (%),Wind Speed (mph),Wind Gust (mph),Pressure (in),Precipitation (in),Res
2022-04-01,55.76934,299.18455,151.50506,2.231,4199940.0,53.275252525252526,33.589646464646464,52.71590909090909,11.467171717171718,10.003787878787879,29.956982323232324,0.006818181818181819,898.7025416666667
2023-04-01,61.09904,299.4484,156.91791,1.838,4239692.0,58.210653753026634,41.285714285714285,59.38740920096852,9.520581113801454,4.790556900726393,29.966949152542373,0.012106537530266344,892.0519501201986
2022-08-01,58.46331,332.27934,168.18235,1.016,4226744.0,79.82164821648216,63.306273062730625,59.91389913899139,8.349323493234932,3.3271832718327183,29.96720787207872,0.0034440344403444036,1910.7483648450952
2023-08-01,53.60064,318.83013,160.47919,1.146,4266732.0,76.26487747957994,62.98016336056009,65.61726954492416,8.521586931155193,2.8284714119019836,29.893267211201866,0.009684947491248543,1960.835171750923
2022-12-01,56.09037,181.42768,70.19456,2.1,4229519.0,39.57913669064748,27.99760191846523,64.2242206235012,10.519184652278177,5.287769784172662,30.10224220623501,0.006594724220623501,1213.1475539017113
2023-12-01,62.51883,168.62788,58.77497,1.413,4276136.0,45.24449594438007,35.21784472769409,69.99304750869061,8.305909617612977,2.8597914252607186,30.02079953650058,0.00996523754345307,1500.7574071269419
2022-02-01,52.79653,199.38436,95.14998,2.069,4197535.0,36.31481481481482,23.88395061728395,64.59876543209876,10.541975308641975,6.197530864197531,30.165604938271603,0.0035802469135802475,1193.7350014880951
2023-02-01,47.68921,203.82,95.63361,1.964,4241313.0,41.15094339622642,26.10242587601078,56.91239892183288,9.81132075471698,5.743935309973046,30.014407008086252,0.002425876010781671,1107.5926966604338
2022-01-01,56.50104,165.56839,78.1793,2.37,4203312.0,29.63849765258216,19.3075117370892,65.72417840375587,10.982394366197184,5.975352112676056,30.02393192488263,0.004225352112676057,1334.169245967742
2023-01-01,52.99527,164.37512,56.53592,2.019,4250845.0,43.8162100456621,32.49885844748859,66.71004566210046,9.162100456621005,4.340182648401827,29.947385844748858,0.0058219178082191785,1143.3616369831054
2022-07-01,56.34934,349.04317,163.42922,1.329,4229964.0,82.33948339483395,63.10947109471095,55.04428044280443,9.132841328413285,4.2091020910209105,29.913591635916358,0.0007380073800738008,2015.80195516963
2023-07-01,57.1,346.34388,172.26914,0.902,4259685.0,80.13399778516057,67.5326688815061,67.50055370985604,7.43078626799557,2.859357696566999,29.87744186046512,0.015171650055370987,2062.06540820708
2022-06-01,56.56462,333.08775,160.04105,1.311,4239829.0,74.12531017369727,56.30521091811414,57.33002481389578,8.962779156327544,4.187344913151365,29.92911910669975,0.0035980148883374688,1339.8230432600735
2023-06-01,60.4301,326.60018,160.60372,1.446,4242620.0,71.5,56.451190476190476,61.76547619047619,8.335714285714285,4.063095238095238,29.817452380952382,0.006547619047619048,1448.1453188969458
2022-03-01,60.26157,268.61184,127.45062,2.122,4219281.0,45.603707995365006,30.063731170336037,58.7694090382387,11.453070683661645,8.699884125144843,29.948528389339515,0.004171494785631518,980.120623655914
2023-03-01,58.66447,272.92486,136.20146,2.139,4246019.0,44.84939759036145,28.150602409638555,56.87590361445783,11.491566265060241,8.67710843373494,29.900204819277107,0.0045783132530120485,1010.6783213465634
2022-05-01,53.43672,325.45296,155.32989,2.0,4209370.0,65.59080717488789,51.60986547085202,64.98654708520179,8.483183856502242,3.632286995515695,30.005919282511208,0.008968609865470852,1067.2653538171965
2023-05-01,53.81965,369.17926,196.25687,1.314,4241257.0,63.97442455242967,43.55754475703325,51.425831202046034,9.07161125319693,4.658567774936062,29.9843094629156,0.0015345268542199491,912.2792902847701
2022-11-01,55.45963,191.28583,92.58518,1.889,4226726.0,51.4380704041721,37.2503259452412,61.32073011734029,9.897001303780964,4.67535853976532,30.10477183833116,0.004041720990873534,999.429640647269
2023-11-01,52.75205,189.5007,99.91485,1.56,4266007.0,47.205263157894734,32.27368421052632,58.19078947368421,9.4,3.832894736842105,30.083499999999997,0.005131578947368422,1286.5504978939516
2022-10-01,46.80046,239.61977,115.38215,1.791,4227521.0,56.591566265060244,45.639759036144575,70.12168674698795,8.96867469879518,3.031325301204819,30.035951807228916,0.01036144578313253,891.2931733999784
2023-10-01,58.91979,238.32721,120.36697,1.108,4257210.0,61.78428927680798,49.96134663341646,67.43391521197007,8.087281795511222,2.3840399002493764,29.920785536159602,0.00660847880299252,1156.6850877209486
2022-09-01,54.97271,287.46083,141.06542,1.401,4228304.0,69.56488549618321,56.24173027989822,65.18320610687023,8.725190839694656,3.311704834605598,29.97494910941476,0.005089058524173028,1247.0269680595964
2023-09-01,51.20912,268.34143,130.17817,1.589,4256236.0,70.38112305854241,59.69414575866189,71.26045400238948,9.20310633213859,2.861409796893668,30.02888888888889,0.009796893667861411,1562.014580388028
